"DSC_LIN0"|"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP"|"DSC_OPR_REG0"|"DSC_SLS_TYP_LV1"|"QTY_REGISTRATION"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"2"
"Onix"|"BRAZIL"|"2023-11-03"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"3"
"Onix"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Espirito santo"|"Dealer"|"6"
"Tracker"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Interior mg"|"Dealer"|"21"
"Tracker"|"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Espirito santo"|"Dealer"|"3"
"S-10 crew cab"|"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Fleet/Government"|"4"
"Cruze"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"8"
"S-10 crew cab"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Porto alegre"|"Fleet/Government"|"4"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Fortaleza"|"Dealer"|"12"
"S-10 crew cab"|"BRAZIL"|"2023-11-17"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Fleet/Government"|"2"
"Tracker"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"7"
"Onix"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"17"
"Onix"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Fortaleza"|"Fleet/Government"|"5"
"Spin"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Centro oeste"|"Dealer"|"2"
"Onix"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"14"
"Onix"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Porto alegre"|"Fleet/Government"|"11"
"Onix"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Espirito santo"|"Dealer"|"11"
"Onix"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Interior paulista b"|"Dealer"|"41"
"Onix"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Brasilia"|"Dealer"|"16"
"Tracker"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Interior paulista a"|"Fleet/Government"|"5"
"Tracker"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Belo horizonte"|"Dealer"|"2"
"S-10 crew cab"|"BRAZIL"|"2023-12-12"|"12"|"LIGHT COMMERCIAL"|"Interior mg"|"Fleet/Government"|"2"
"Tracker"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Interior paulista a"|"Dealer"|"14"
"Tracker"|"BRAZIL"|"2023-11-15"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"6"
"Tracker"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Santa catarina"|"Dealer"|"42"
"Onix"|"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Fortaleza"|"Dealer"|"14"
"Montana 1.2"|"BRAZIL"|"2023-11-28"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Dealer"|"10"
"Montana 1.2"|"BRAZIL"|"2023-11-28"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Dealer"|"11"
"Montana 1.2"|"BRAZIL"|"2023-11-17"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Dealer"|"4"
"Montana 1.2"|"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|"Dealer"|"7"
"Montana 1.2"|"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Dealer"|"6"
"Montana 1.2"|"BRAZIL"|"2023-11-13"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|"Dealer"|"1"
"Montana 1.2"|"BRAZIL"|"2023-11-07"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|"Dealer"|"5"
"Montana 1.2"|"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"13"
"S-10 crew cab"|"BRAZIL"|"2023-11-17"|"11"|"LIGHT COMMERCIAL"|"Brasilia"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Dealer"|"3"
"S-10 crew cab"|"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Dealer"|"3"
"S-10 crew cab"|"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Recife"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-11-03"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|"Dealer"|"2"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Belem"|"Fleet/Government"|"19"
"Onix"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Recife"|"Fleet/Government"|"4"
"Montana 1.2"|"BRAZIL"|"2023-12-13"|"12"|"LIGHT COMMERCIAL"|"Recife"|"Fleet/Government"|"9"
"Montana 1.2"|"BRAZIL"|"2023-12-13"|"12"|"LIGHT COMMERCIAL"|"Porto alegre"|"Dealer"|"3"
"Onix"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Interior mg"|"Dealer"|"19"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Parana"|"Fleet/Government"|"26"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Centro oeste"|"Fleet/Government"|"2"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Recife"|"Fleet/Government"|"7"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Interior paulista a"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Centro oeste"|"Dealer"|"11"
"Montana 1.2"|"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Dealer"|"4"
"Montana 1.2"|"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Dealer"|"6"
"Tracker"|"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Parana"|"Fleet/Government"|"4"
"Tracker"|"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Parana"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Porto alegre"|"Fleet/Government"|"2"
"Spin"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"91"
"Onix"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Parana"|"Fleet/Government"|"5"
"S-10 crew cab"|"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Dealer"|"6"
"Onix"|"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"160"
"Onix"|"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Belo horizonte"|"Dealer"|"4"
"Tracker"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Centro oeste"|"Fleet/Government"|"5"
"Montana 1.2"|"BRAZIL"|"2023-12-13"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Fleet/Government"|"4"
"Tracker"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"196"
"Tracker"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Interior paulista a"|"Dealer"|"23"
"Tracker"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Brasilia"|"Dealer"|"8"
"Onix"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"11"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"7"
"Tracker"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Interior mg"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Interior mg"|"Dealer"|"10"
"S-10 crew cab"|"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Dealer"|"4"
"Onix"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Belo horizonte"|"Dealer"|"7"
"Onix"|"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"6"
"Onix"|"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Fortaleza"|"Dealer"|"17"
"S-10 crew cab"|"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|"Fleet/Government"|"3"
"Onix"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Santa catarina"|"Dealer"|"19"
"Onix"|"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Santa catarina"|"Dealer"|"17"
"Tracker"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Recife"|"Fleet/Government"|"4"
"Tracker"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Belo horizonte"|"Dealer"|"6"
"Montana 1.2"|"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|"Fleet/Government"|"4"
"Montana 1.2"|"BRAZIL"|"2023-11-07"|"11"|"LIGHT COMMERCIAL"|"Recife"|"Dealer"|"6"
"Montana 1.2"|"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|"Fleet/Government"|"6"
"Spin"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Recife"|"Fleet/Government"|"23"
"Spin"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"4"
"Spin"|"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"3"
"Spin"|"BRAZIL"|"2023-11-03"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"4"
"S-10 crew cab"|"BRAZIL"|"2023-11-16"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|"Fleet/Government"|"4"
"Spin"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Interior mg"|"Fleet/Government"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-11-22"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Fleet/Government"|"6"
"Tracker"|"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Recife"|"Dealer"|"23"
"S-10 crew cab"|"BRAZIL"|"2023-11-17"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Rio de janeiro"|"Fleet/Government"|"4"
"Montana 1.2"|"BRAZIL"|"2023-11-14"|"11"|"LIGHT COMMERCIAL"|"Sao paulo"|"Fleet/Government"|"5"
"Spin"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Interior mg"|"Fleet/Government"|"4"
"Onix"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"299"
"Montana 1.2"|"BRAZIL"|"2023-12-12"|"12"|"LIGHT COMMERCIAL"|"Centro oeste"|"Dealer"|"5"
"Onix"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Porto alegre"|"Dealer"|"13"
"Onix"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Fortaleza"|"Fleet/Government"|"2"
"Tracker"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Recife"|"Dealer"|"35"
"Tracker"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Porto alegre"|"Dealer"|"23"
"Montana 1.2"|"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Brasilia"|"Dealer"|"7"
"Montana 1.2"|"BRAZIL"|"2023-11-24"|"11"|"LIGHT COMMERCIAL"|"Sao paulo"|"Fleet/Government"|"4"
"Montana 1.2"|"BRAZIL"|"2023-11-24"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Porto alegre"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Interior mg"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Belem"|"Fleet/Government"|"4"
"Tracker"|"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"6"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Centro oeste"|"Dealer"|"19"
"Onix"|"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"12"
"Onix"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"1"
"Onix"|"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"10"
"Montana 1.2"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Fleet/Government"|"4"
"Montana 1.2"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Sao paulo"|"Dealer"|"9"
"Montana 1.2"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|"Dealer"|"3"
"Montana 1.2"|"BRAZIL"|"2023-12-07"|"12"|"LIGHT COMMERCIAL"|"Interior mg"|"Fleet/Government"|"3"
"Montana 1.2"|"BRAZIL"|"2023-12-07"|"12"|"LIGHT COMMERCIAL"|"Santa catarina"|"Fleet/Government"|"2"
"Trailblazer"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"1"
"Spin"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Santa catarina"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Centro oeste"|"Dealer"|"1"
"Onix"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"7"
"Onix"|"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Interior paulista a"|"Fleet/Government"|"6"
"Tracker"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Belem"|"Fleet/Government"|"4"
"Tracker"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Centro oeste"|"Dealer"|"12"
"Tracker"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"33"
"Tracker"|"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"4"
"Tracker"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"8"
"Onix"|"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Sao paulo"|"Use Company"|"2"
"Montana 1.2"|"BRAZIL"|"2023-11-24"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|"Fleet/Government"|"1"
"Montana 1.2"|"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Dealer"|"16"
"Montana 1.2"|"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|"Dealer"|"4"
"Spin"|"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Recife"|"Fleet/Government"|"8"
"S-10 crew cab"|"BRAZIL"|"2023-12-13"|"12"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-12-13"|"12"|"LIGHT COMMERCIAL"|"Interior mg"|"Dealer"|"3"
"Montana 1.2"|"BRAZIL"|"2023-12-04"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|"Fleet/Government"|"2"
"Spin"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"2"
"Tracker"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Centro oeste"|"Dealer"|"17"
"Tracker"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"7"
"Tracker"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Belo horizonte"|"Dealer"|"8"
"Montana 1.2"|"BRAZIL"|"2023-11-28"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Belem"|"Fleet/Government"|"5"
"Onix"|"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Parana"|"Dealer"|"19"
"Montana 1.2"|"BRAZIL"|"2023-11-14"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|"Fleet/Government"|"4"
"Montana 1.2"|"BRAZIL"|"2023-11-17"|"11"|"LIGHT COMMERCIAL"|"Rio de janeiro"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-12-13"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Fleet/Government"|"4"
"S-10 crew cab"|"BRAZIL"|"2023-12-04"|"12"|"LIGHT COMMERCIAL"|"Espirito santo"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"6"
"Equinox"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"2"
"Equinox"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Porto alegre"|"Dealer"|"3"
"Equinox"|"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Interior mg"|"Dealer"|"1"
"Tracker"|"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Belem"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Interior paulista b"|"Dealer"|"20"
"Tracker"|"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"7"
"Tracker"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Parana"|"Fleet/Government"|"12"
"Tracker"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"6"
"Montana 1.2"|"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Fleet/Government"|"5"
"Montana 1.2"|"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Sao paulo"|"Fleet/Government"|"3"
"Montana 1.2"|"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Rio de janeiro"|"Fleet/Government"|"1"
"Onix"|"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Parana"|"Fleet/Government"|"5"
"Montana 1.2"|"BRAZIL"|"2023-11-13"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|"Dealer"|"3"
"Montana 1.2"|"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|"Fleet/Government"|"4"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Belo horizonte"|"Dealer"|"11"
"Onix"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Interior paulista a"|"Fleet/Government"|"4"
"S-10 single cab"|"BRAZIL"|"2023-12-04"|"12"|"LIGHT COMMERCIAL"|"Recife"|"Fleet/Government"|"1"
"Spin"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"15"
"Spin"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"2"
"Spin"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Interior paulista b"|"Dealer"|"2"
"Spin"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Centro oeste"|"Fleet/Government"|"1"
"Equinox"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Centro oeste"|"Dealer"|"1"
"Equinox"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Interior mg"|"Dealer"|"2"
"Tracker"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"9"
"S-10 crew cab"|"BRAZIL"|"2023-11-21"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Fleet/Government"|"4"
"Onix"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"10"
"Montana 1.2"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Dealer"|"3"
"Equinox"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Belo horizonte"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-12-11"|"12"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"24"
"Equinox"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Fortaleza"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-12-13"|"12"|"LIGHT COMMERCIAL"|"Sao paulo"|"Use Company"|"1"
"Tracker"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"3"
"Onix"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"4"
"Onix"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Interior mg"|"Fleet/Government"|"1"
"Montana 1.2"|"BRAZIL"|"2023-11-07"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Dealer"|"11"
"Montana 1.2"|"BRAZIL"|"2023-11-23"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|"Dealer"|"6"
"Spin"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Espirito santo"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Espirito santo"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Porto alegre"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-11-16"|"11"|"LIGHT COMMERCIAL"|"Recife"|"Fleet/Government"|"1"
"Onix"|"BRAZIL"|"2023-11-02"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"5"
"Tracker"|"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Fortaleza"|"Fleet/Government"|"2"
"Onix"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Rio de janeiro"|"Fleet/Government"|"1"
"Trailblazer"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Centro oeste"|"Fleet/Government"|"5"
"Trailblazer"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Interior mg"|"Fleet/Government"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|"Dealer"|"1"
"Tracker"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"7"
"S-10 crew cab"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|"Fleet/Government"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-12-07"|"12"|"LIGHT COMMERCIAL"|"Parana"|"Dealer"|"2"
"S-10 crew cab"|"BRAZIL"|"2023-12-11"|"12"|"LIGHT COMMERCIAL"|"Centro oeste"|"Fleet/Government"|"6"
"S-10 crew cab"|"BRAZIL"|"2023-12-11"|"12"|"LIGHT COMMERCIAL"|"Belem"|"Dealer"|"2"
"Montana 1.2"|"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|"Dealer"|"1"
"Montana 1.2"|"BRAZIL"|"2023-11-03"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|"Dealer"|"4"
"Montana 1.2"|"BRAZIL"|"2023-11-22"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Dealer"|"5"
"Tracker"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"3"
"Onix"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Belem"|"Fleet/Government"|"2"
"Onix"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Santa catarina"|"Dealer"|"15"
"Onix"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Recife"|"Fleet/Government"|"7"
"Onix"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Interior mg"|"Fleet/Government"|"7"
"Montana 1.2"|"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|"Dealer"|"5"
"Onix"|"BRAZIL"|"2023-11-03"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"13"
"Tracker"|"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Espirito santo"|"Dealer"|"4"
"Tracker"|"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"5"
"S-10 crew cab"|"BRAZIL"|"2023-11-14"|"11"|"LIGHT COMMERCIAL"|"Recife"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-11-07"|"11"|"LIGHT COMMERCIAL"|"Recife"|"Dealer"|"4"
"S-10 crew cab"|"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Recife"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-11-21"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|"Dealer"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-11-24"|"11"|"LIGHT COMMERCIAL"|"Sao paulo"|"Dealer"|"1"
"Onix"|"BRAZIL"|"2023-11-03"|"11"|"PASSENGER"|"Brasilia"|"Fleet/Government"|"24"
"Onix"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Brasilia"|"Fleet/Government"|"1"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"5"
